fact_id,poi_id,fact_type,fact_text,language,confidence,display_priority,embedding_ref,updated_at
fct_d1a071cd,poi_7f6561ec,practical,Allow 75 minutes at Jaipur Bazaar. It is busiest between 10:00 and 13:00.,en-IN,medium,1,emb_fact_7f6561ec,2026-08-18T10:00:00+05:30
fct_010dda31,poi_afcb7beb,history,Chhatri Complex was substantially rebuilt in the 17th century; the earlier structure survives only in the foundations.,en-IN,low,4,emb_fact_afcb7beb,2026-08-18T10:00:00+05:30
fct_81caf4fa,poi_bf6716e9,trivia,"Zipline Point appears on the city's earliest surviving tourist map, misspelled.",en-IN,high,1,emb_fact_bf6716e9,2026-08-18T10:00:00+05:30
fct_f81317fe,poi_e68abae6,etiquette,Footwear is removed before entering the inner area of Jaipur Bazaar; socks are advisable in summer.,en-IN,medium,2,emb_fact_e68abae6,2026-08-18T10:00:00+05:30
fct_d1d0d3f8,poi_fe8a867b,trivia,"Jaipur Fort appears on the city's earliest surviving tourist map, misspelled.",en-IN,medium,4,emb_fact_fe8a867b,2026-08-18T10:00:00+05:30
fct_58dc39cb,poi_c192ae9d,architecture,"The inscription at Handloom Cooperative is the detail most guides point out, and the only part not restored.",en-IN,high,2,emb_fact_c192ae9d,2026-08-18T10:00:00+05:30
fct_2face537,poi_cd4eb948,history,Night Food Bazaar was substantially rebuilt in the 17th century; the earlier structure survives only in the foundations.,en-IN,high,4,emb_fact_cd4eb948,2026-08-18T10:00:00+05:30
fct_5c3f20fe,poi_443a14c5,trivia,"Coffee Roastery Tour appears on the city's earliest surviving tourist map, misspelled.",en-IN,high,3,emb_fact_443a14c5,2026-08-18T10:00:00+05:30
fct_6b4bb6d4,poi_364cac5a,etiquette,Footwear is removed before entering the inner area of Jaipur Bazaar; socks are advisable in summer.,en-IN,high,1,emb_fact_364cac5a,2026-08-18T10:00:00+05:30
fct_5df4ea22,poi_5252b3dc,practical,Allow 45 minutes at Coffee Roastery Tour. It is busiest between 10:00 and 13:00.,en-IN,high,2,emb_fact_5252b3dc,2026-08-18T10:00:00+05:30
fct_59f9970f,poi_01f1e4a6,trivia,"Museum of Coins appears on the city's earliest surviving tourist map, misspelled.",en-IN,low,3,emb_fact_01f1e4a6,2026-08-18T10:00:00+05:30
fct_ddce8f97,poi_43837046,history,Riverside Lounge was substantially rebuilt in the 18th century; the earlier structure survives only in the foundations.,en-IN,high,2,emb_fact_43837046,2026-08-18T10:00:00+05:30
fct_2f1440b7,poi_58124e0f,etiquette,Footwear is removed before entering the inner area of Textile Museum; socks are advisable in summer.,en-IN,high,5,emb_fact_58124e0f,2026-08-18T10:00:00+05:30
fct_b285b187,poi_0b3e375a,etiquette,Footwear is removed before entering the inner area of Hot Springs; socks are advisable in summer.,en-IN,medium,2,emb_fact_0b3e375a,2026-08-18T10:00:00+05:30
fct_c13789fc,poi_18f08d29,practical,Allow 120 minutes at Royal Cenotaphs. It is busiest between 10:00 and 13:00.,en-IN,medium,4,emb_fact_18f08d29,2026-08-18T10:00:00+05:30
fct_9ad50776,poi_39c95ec6,architecture,"The lattice screen at Blue Pottery Workshop is the detail most guides point out, and the only part not restored.",en-IN,medium,4,emb_fact_39c95ec6,2026-08-18T10:00:00+05:30
fct_8cadef56,poi_c0128d7d,etiquette,Footwear is removed before entering the inner area of Udaipur Street Food Lane; socks are advisable in summer.,en-IN,medium,1,emb_fact_c0128d7d,2026-08-18T10:00:00+05:30
fct_14238677,poi_78eecc44,practical,Allow 75 minutes at Coffee Roastery Tour. It is busiest between 10:00 and 13:00.,en-IN,high,3,emb_fact_78eecc44,2026-08-18T10:00:00+05:30
fct_1cb14f36,poi_6949e353,etiquette,Footwear is removed before entering the inner area of Great Mosque of Udaipur; socks are advisable in summer.,en-IN,high,2,emb_fact_6949e353,2026-08-18T10:00:00+05:30
fct_05d2841a,poi_9e725958,trivia,"Udaipur Street Food Lane appears on the city's earliest surviving tourist map, misspelled.",en-IN,high,5,emb_fact_9e725958,2026-08-18T10:00:00+05:30
fct_d38ffae1,poi_7d81053b,architecture,"The fresco panel at Maritime Museum is the detail most guides point out, and the only part not restored.",en-IN,high,1,emb_fact_7d81053b,2026-08-18T10:00:00+05:30
fct_0110aeea,poi_3ca0d3de,practical,Allow 60 minutes at Maritime Museum. It is busiest between 10:00 and 13:00.,en-IN,high,3,emb_fact_3ca0d3de,2026-08-18T10:00:00+05:30
fct_1a52a76f,poi_d052fde5,practical,Allow 240 minutes at Botanical Gardens. It is busiest between 10:00 and 13:00.,en-IN,high,1,emb_fact_d052fde5,2026-08-18T10:00:00+05:30
fct_69d1bd9a,poi_1559dff8,architecture,"The fresco panel at Riverside Lounge is the detail most guides point out, and the only part not restored.",en-IN,high,2,emb_fact_1559dff8,2026-08-18T10:00:00+05:30
fct_83acae88,poi_6b45f5d8,trivia,"Rock Garden appears on the city's earliest surviving tourist map, misspelled.",en-IN,high,5,emb_fact_6b45f5d8,2026-08-18T10:00:00+05:30
fct_a840ca31,poi_87f14af2,practical,Allow 45 minutes at Backwater Channel. It is busiest between 10:00 and 13:00.,en-IN,low,3,emb_fact_87f14af2,2026-08-18T10:00:00+05:30
fct_0fc7c6c8,poi_c9ad2e61,trivia,"Coffee Roastery Tour appears on the city's earliest surviving tourist map, misspelled.",en-IN,high,5,emb_fact_c9ad2e61,2026-08-18T10:00:00+05:30
fct_9ae872f1,poi_455fd66d,etiquette,Footwear is removed before entering the inner area of Riverside Ghats; socks are advisable in summer.,en-IN,medium,5,emb_fact_455fd66d,2026-08-18T10:00:00+05:30
fct_f194314e,poi_3514f780,architecture,"The fresco panel at Jazz Cellar, Udaipur is the detail most guides point out, and the only part not restored.",en-IN,high,1,emb_fact_3514f780,2026-08-18T10:00:00+05:30
