chunk_id,city_id,poi_id,section,title,body,language,token_estimate,source_label,embedding_ref,seasonal_relevance,updated_at
kbc_7337d4e6,cty_c07454f1,,history,Jaipur — History,"Jaipur grew up around a fortified hill, and the shape of the old town still follows it. The early modern period brought the walls and the gate names that survive on street signs today; the twentieth century brought the railway, which moved the commercial centre about two kilometres from where it had sat for four hundred years. Visitors who only see the modern centre often miss that the older quarter is walkable in an afternoon and considerably more interesting.",en-IN,102,KV Place Guide / Jaipur / history,emb_place_7337d4e6,,2026-08-18T10:00:00+05:30
kbc_6c639764,cty_c07454f1,,culture,Jaipur — Culture,"Daily rhythm in Jaipur is worth understanding before you plan a day. Mornings start early — markets are busiest before nine — and the middle of the day slows noticeably, particularly in winter. Evenings are social: the a river crossing fills up after seven and stays busy until quite late. Music and performance are common in public spaces during festival months rather than year-round.",en-IN,83,KV Place Guide / Jaipur / culture,emb_place_6c639764,,2026-08-18T10:00:00+05:30
kbc_623449e3,cty_c07454f1,,etiquette,Jaipur — Etiquette,"A few things save awkwardness in Jaipur. Remove footwear at religious sites, and carry socks if the stone is hot. Photography of people, especially at prayer, is best asked about first; a gesture toward the camera is usually enough. Bargaining is expected in the bazaars and not in shops with printed prices. Tipping is modest but appreciated — rounding up is normal, twenty per cent is not.",en-IN,87,KV Place Guide / Jaipur / etiquette,emb_place_623449e3,,2026-08-18T10:00:00+05:30
kbc_d40b10fb,cty_c07454f1,,food,Jaipur — Food,"The local kitchen in Jaipur is built around millet and chilli, and it is worth eating where the turnover is high rather than where the menu is longest. Vegetarian food is easy to find; strict Jain preparation is available at a smaller number of places and usually needs asking for. Street food is safest mid-morning and early evening when it is freshly made. Tap water is not recommended; sealed bottles and filtered refills are widely available.",en-IN,98,KV Place Guide / Jaipur / food,emb_place_d40b10fb,,2026-08-18T10:00:00+05:30
kbc_e51e13b9,cty_c07454f1,,transport,Jaipur — Transport,"Getting around Jaipur is straightforward if you pick the right mode for the distance. Auto-rickshaws work well under three kilometres and should be metered or agreed in advance. App-based cabs are reliable in the newer parts of the city and less so in the old lanes, where drivers will often ask you to walk the last stretch. Cycling is pleasant early; less so after nine.",en-IN,84,KV Place Guide / Jaipur / transport,emb_place_e51e13b9,,2026-08-18T10:00:00+05:30
kbc_bf82c5d5,cty_c07454f1,,safety,Jaipur — Safety,"Jaipur is generally comfortable for travellers, with the usual caveats. Crowded market areas attract pickpocketing, so keep bags in front. Lone travellers report fewer problems in the central and heritage districts than in the outer transport hubs late at night. During winter the greater risk is heat or rain rather than crime — plan accordingly and carry water.",en-IN,75,KV Place Guide / Jaipur / safety,emb_place_bf82c5d5,,2026-08-18T10:00:00+05:30
kbc_ba5a9475,cty_c07454f1,,seasonal,Jaipur — Seasonal,"Season matters more in Jaipur than most travellers expect. winter brings the conditions most people come for, and the corresponding crowds and prices. The shoulder weeks either side are noticeably cheaper, with weather that is usually still workable. The off season is not empty — several of the best festivals fall in it — but some outlying sites reduce their hours.",en-IN,79,KV Place Guide / Jaipur / seasonal,emb_place_ba5a9475,winter,2026-08-18T10:00:00+05:30
kbc_7e32c8ed,cty_c07454f1,,practical,Jaipur — Practical,"Practical notes for Jaipur: ATMs are common in the centre and sparse near the outlying sites, so carry some cash. Most mid-range hotels will hold luggage after checkout without charging. Mobile coverage is good in the city and patchy in the hills nearby. Sunday closures affect government museums more than private ones. Allow more time than the map suggests during festival weeks.",en-IN,80,KV Place Guide / Jaipur / practical,emb_place_7e32c8ed,,2026-08-18T10:00:00+05:30
kbc_7d90f89f,cty_5d572c8a,,history,Udaipur — History,"Udaipur grew up around a temple tank, and the shape of the old town still follows it. The colonial period brought the walls and the gate names that survive on street signs today; the twentieth century brought the railway, which moved the commercial centre about two kilometres from where it had sat for four hundred years. Visitors who only see the modern centre often miss that the older quarter is walkable in an afternoon and considerably more interesting.",en-IN,101,KV Place Guide / Udaipur / history,emb_place_7d90f89f,,2026-08-18T10:00:00+05:30
kbc_aeb19381,cty_5d572c8a,,culture,Udaipur — Culture,"Daily rhythm in Udaipur is worth understanding before you plan a day. Mornings start early — markets are busiest before nine — and the middle of the day slows noticeably, particularly in winter. Evenings are social: the a caravan route fills up after seven and stays busy until quite late. Music and performance are common in public spaces during festival months rather than year-round.",en-IN,83,KV Place Guide / Udaipur / culture,emb_place_aeb19381,,2026-08-18T10:00:00+05:30
