poi_id,city_id,name,category_id,poi_category,lat,lng,typical_duration_minutes,entry_cost,currency,carbon_kg,popularity_score,value_score,opens_at,closes_at,closed_days,best_season,accessibility,tags,description,has_xr_scene,status,updated_at
poi_7f6561ec,cty_c07454f1,Jaipur Bazaar,cat_f2c80643,shopping,26.883646,75.803626,75,750.00,INR,2.206,74,76,06:00,21:00,,winter,none,"sunrise,guided_tour,ticketed,crowded","Small enough to see in an hour, dense enough to reward two. Signage is uneven, so a guide helps.",0,active,2026-08-18T10:00:00+05:30
poi_afcb7beb,cty_c07454f1,Chhatri Complex,cat_fce0bd94,heritage,26.871041,75.817737,75,0.00,INR,0.276,100,29,10:00,18:00,,winter,partial,"indoor,family_friendly,local_favourite,sunrise",Busiest between ten and one. Come at opening or an hour before closing and it is a different place entirely.,0,active,2026-08-18T10:00:00+05:30
poi_bf6716e9,cty_c07454f1,Zipline Point,cat_0bdaba79,adventure,26.944817,75.710119,45,200.00,INR,0.658,100,44,06:00,21:00,,,step_free,"crowded,family_friendly,outdoor,quiet","Built in stages between the fourteenth and eighteenth centuries, it repays a slow visit; the inscription on the rear terrace is easy to miss from the main path.",0,active,2026-08-18T10:00:00+05:30
poi_e68abae6,cty_c07454f1,Jaipur Bazaar,cat_70320c9b,shopping,26.887856,75.746046,75,50.00,INR,0.248,21,43,08:00,18:00,,winter,partial,"guided_tour,outdoor,sunset,local_favourite","Locals treat it as a park as much as a monument, which is worth knowing before you arrive expecting silence.",0,active,2026-08-18T10:00:00+05:30
poi_fe8a867b,cty_c07454f1,Jaipur Fort,cat_68482803,heritage,26.915509,75.747071,240,0.00,INR,2.847,72,59,09:00,17:00,,winter,none,"ticketed,indoor,local_favourite,family_friendly","Built in stages between the fourteenth and eighteenth centuries, it repays a slow visit; the mirror work on the north courtyard is easy to miss from the main path.",0,active,2026-08-18T10:00:00+05:30
poi_c192ae9d,cty_c07454f1,Handloom Cooperative,cat_70320c9b,shopping,26.844017,75.728406,120,50.00,INR,0.106,13,60,06:00,19:00,6,winter,partial,"guided_tour,outdoor,quiet,unesco","Locals treat it as a park as much as a monument, which is worth knowing before you arrive expecting silence.",0,active,2026-08-18T10:00:00+05:30
poi_cd4eb948,cty_c07454f1,Night Food Bazaar,cat_b591c643,food,26.880071,75.856165,60,1200.00,INR,3.412,54,72,08:00,18:00,,winter,none,"ticketed,family_friendly,quiet,crowded","Small enough to see in an hour, dense enough to reward two. Signage is uneven, so a guide helps.",0,active,2026-08-18T10:00:00+05:30
poi_443a14c5,cty_c07454f1,Coffee Roastery Tour,cat_260a51dc,food,26.909859,75.841779,120,0.00,INR,1.956,53,64,08:00,18:00,,winter,step_free,"sunset,sunrise,outdoor,ticketed","Restored in the 1990s with mixed results — the rear terrace is authentic, the brass door is not.",0,active,2026-08-18T10:00:00+05:30
poi_364cac5a,cty_c07454f1,Jaipur Bazaar,cat_f2c80643,shopping,26.851979,75.860267,120,2500.00,INR,0.495,35,55,10:00,17:00,1,winter,partial,"crowded,outdoor,sunset,guided_tour","The tile mosaic is the reason most people come, but the riverside steps behind it is quieter and arguably better.",0,active,2026-08-18T10:00:00+05:30
poi_5252b3dc,cty_c07454f1,Coffee Roastery Tour,cat_260a51dc,food,26.964967,75.734425,45,100.00,INR,2.974,39,28,10:00,17:00,1,winter,none,"sunrise,outdoor,unesco,quiet",Busiest between ten and one. Come at opening or an hour before closing and it is a different place entirely.,0,active,2026-08-18T10:00:00+05:30
poi_01f1e4a6,cty_c07454f1,Museum of Coins,cat_648738e2,museum,26.901723,75.785456,120,0.00,INR,2.587,58,49,10:00,17:00,6,winter,step_free,"outdoor,family_friendly,unesco,quiet","Built in stages between the fourteenth and eighteenth centuries, it repays a slow visit; the fresco panel on the upper gallery is easy to miss from the main path.",0,active,2026-08-18T10:00:00+05:30
poi_43837046,cty_c07454f1,Riverside Lounge,cat_ae5149e1,nightlife,26.88558,75.759151,60,50.00,INR,1.433,42,75,10:00,18:00,6,winter,partial,"guided_tour,sunrise,crowded,outdoor","Built in stages between the fourteenth and eighteenth centuries, it repays a slow visit; the brass door on the rear terrace is easy to miss from the main path.",0,active,2026-08-18T10:00:00+05:30
poi_58124e0f,cty_c07454f1,Textile Museum,cat_a74a90c1,museum,26.937355,75.794187,240,100.00,INR,1.583,93,48,09:00,18:00,,winter,partial,"local_favourite,quiet,ticketed,photogenic","Restored in the 1990s with mixed results — the riverside steps is authentic, the lattice screen is not.",0,active,2026-08-18T10:00:00+05:30
poi_0b3e375a,cty_c07454f1,Hot Springs,cat_829c3404,wellness,26.974235,75.861996,240,750.00,INR,0.666,51,42,08:00,19:00,,winter,step_free,"unesco,quiet,guided_tour,photogenic","Restored in the 1990s with mixed results — the rear terrace is authentic, the brass door is not.",0,active,2026-08-18T10:00:00+05:30
poi_18f08d29,cty_c07454f1,Royal Cenotaphs,cat_fce0bd94,heritage,26.86121,75.789083,120,100.00,INR,0.242,25,72,06:00,,,,none,"quiet,family_friendly,ticketed,photogenic","Small enough to see in an hour, dense enough to reward two. Signage is uneven, so a guide helps.",0,active,2026-08-18T10:00:00+05:30
poi_39c95ec6,cty_5d572c8a,Blue Pottery Workshop,cat_f2c80643,shopping,24.584982,73.743354,75,500.00,INR,0.912,71,38,09:00,18:00,,,none,"family_friendly,local_favourite,quiet,indoor","The mirror work is the reason most people come, but the rear terrace behind it is quieter and arguably better.",0,active,2026-08-18T10:00:00+05:30
poi_c0128d7d,cty_5d572c8a,Udaipur Street Food Lane,cat_a01f3db5,food,24.610745,73.742177,240,750.00,INR,2.428,67,35,09:00,17:00,,winter,step_free,"ticketed,crowded,quiet,photogenic","Locals treat it as a park as much as a monument, which is worth knowing before you arrive expecting silence.",0,active,2026-08-18T10:00:00+05:30
poi_78eecc44,cty_5d572c8a,Coffee Roastery Tour,cat_260a51dc,food,24.577108,73.681057,75,2500.00,INR,0.952,46,73,08:00,21:00,,winter,none,"indoor,sunset,sunrise,unesco","Locals treat it as a park as much as a monument, which is worth knowing before you arrive expecting silence.",0,active,2026-08-18T10:00:00+05:30
poi_6949e353,cty_5d572c8a,Great Mosque of Udaipur,cat_7e99ea32,religious,24.517947,73.703318,240,1200.00,INR,2.589,62,61,08:00,,,winter,step_free,"sunset,quiet,sunrise,ticketed","Built in stages between the fourteenth and eighteenth centuries, it repays a slow visit; the inscription on the riverside steps is easy to miss from the main path.",1,active,2026-08-18T10:00:00+05:30
poi_9e725958,cty_5d572c8a,Udaipur Street Food Lane,cat_34ac5ade,food,24.656914,73.709815,60,0.00,INR,3.333,71,42,08:00,19:00,,winter,none,"sunset,ticketed,unesco,quiet","Restored in the 1990s with mixed results — the upper gallery is authentic, the fresco panel is not.",0,active,2026-08-18T10:00:00+05:30
poi_7d81053b,cty_5d572c8a,Maritime Museum,cat_a6c4c438,museum,24.612548,73.740465,75,200.00,INR,1.159,34,65,08:00,17:00,1,winter,none,"quiet,outdoor,guided_tour,sunrise","Small enough to see in an hour, dense enough to reward two. Signage is uneven, so a guide helps.",0,active,2026-08-18T10:00:00+05:30
poi_3ca0d3de,cty_5d572c8a,Maritime Museum,cat_648738e2,museum,24.623703,73.720869,60,1200.00,INR,3.445,64,82,10:00,17:00,,,partial,"local_favourite,unesco,photogenic,outdoor","Small enough to see in an hour, dense enough to reward two. Signage is uneven, so a guide helps.",0,active,2026-08-18T10:00:00+05:30
poi_d052fde5,cty_5d572c8a,Botanical Gardens,cat_87a6232b,nature,24.588827,73.720875,240,2500.00,INR,1.3,88,89,08:00,19:00,,winter,partial,"family_friendly,quiet,guided_tour,outdoor","Locals treat it as a park as much as a monument, which is worth knowing before you arrive expecting silence.",0,active,2026-08-18T10:00:00+05:30
poi_1559dff8,cty_5d572c8a,Riverside Lounge,cat_ae5149e1,nightlife,24.538486,73.642455,75,200.00,INR,2.508,68,82,10:00,17:00,,winter,none,"quiet,sunrise,guided_tour,sunset","The inscription is the reason most people come, but the colonnade behind it is quieter and arguably better.",0,active,2026-08-18T10:00:00+05:30
poi_6b45f5d8,cty_5d572c8a,Rock Garden,cat_87a6232b,nature,24.615669,73.685853,90,200.00,INR,1.837,37,78,10:00,17:00,,winter,none,"ticketed,outdoor,quiet,sunrise","Locals treat it as a park as much as a monument, which is worth knowing before you arrive expecting silence.",0,active,2026-08-18T10:00:00+05:30
